Store Name	GMV (USD)	Affiliate Video GMV(USD)	Self-Account Video GMV(USD)	Self-Account Live GMV(USD)	Self-Account Live AOV (Main Order)(USD)	Affiliate Live GMV(USD)	Shop Tab GMV(USD)
YooHee	92198	2301	674	7142	18	75113	15389
MISTINE BWG VN	91391	54254	278	9722	7	14468	16857
MTN COSMETICS	91305	79222	0	0	0	1793	17244
The Starlens Contact Lens	91058	63380	1999	7020	6	191	23365
MNS VIỆT NAM	90738	11325	0	3504	3	71632	11764
S:kin Heritage Việt Nam	90606	14491	132	7089	6	62908	13893
OSITREE VN	89922	30014	86	12376	6	36615	18295
Youthology Bodycare	89312	69628	32	7553	7	85	14579
KEYSHU VIỆT NAM	86020	33638	1396	18219	16	8716	24758
Sellion VN	85775	71405	7	147	8	4040	16472
Enchen.vn	85469	47730	427	16112	13	2960	26402
MTN Personal Care	85424	80733	0	0	0	205	8620
Chenglovehair	85180	47642	1850	10013	5	278	31767
ARMAFVIETNAM	84320	21971	66	11141	32	36316	15632
Lattafa Việt Nam	84164	3998	0	5769	37	67918	8835
Bioderma Vietnam	83432	8309	600	24072	16	29739	21812
Rhys Man	83275	19710	480	25772	10	10954	30874
ChuThanhHuyen	83296	83	0	0	0	81636	4139
P&G Chăm Sóc Cá Nhân - eMesa	82834	12761	1153	50234	14	590	19939
iCare Pharma	82129	29249	1943	27286	14	819	20957
KUCO-pro	81770	66534	0	2837	4	7979	8639
GMEELAN Beauty Store	81557	25083	440	27101	5	29	11662
ELVIE STORE	80924	68069	61	3894	6	1614	7115
Cỏ Cây Hoa Lá Vietnam	80834	18671	5728	29089	13	285	20718
Jasmeen.VN	78650	35178	18	0	0	27414	18060
ROCKSWEET-VN	78110	48021	91	5529	5	13596	12226
moodyofficialstore	77740	21305	1845	3233	7	41303	13801
Kérastase Việt Nam	77141	9921	149	29481	45	12101	19207
MILAI Vietnam	76682	59057	230	4816	2	197	14625
ROUNI NAILS	76466	52833	1322	4773	5	987	22429
Dr.Pong Vietnam	76385	32629	2722	14181	10	7015	23677
Nhà thuốc Nhân Dân số 1	74837	64326	0	0	0	2635	7320
PINKTWO-VN	74723	59188	525	2855	4	710	16057
Lê Vân Anh Cosmetics	74400	1524	4558	56207	47	12	14710
Nezha VN	74145	35723	34	3157	4	28540	10311
Thanh To Cosmetic	73764	46872	3466	9479	10	1358	12159
Romano Việt Nam	73587	31380	114	6476	7	17793	21263
LumineeBeautyVN	73286	45835	2	0	0	18931	16378
Fanmen Vietnam	73139	59728	1911	377	7	3168	15614
Cottonday SEA	72818	61058	20	2539	4	553	8415
BESKIN VIET NAM.	72803	12647	65	0	0	41803	15435
Teashell VN	72347	44008	53	3392	3	1285	15128
H2C shop	71989	25111	4685	13609	41	3161	24772
Santalwisp-VN	71440	64630	0	0	0	44	6553
Sea Makeup Việt Nam	71371	18092	24	24182	6	18950	18012
Caryophy Vietnam	70016	25243	113	18148	12	1886	25509
Brushie Mall	70001	7907	1230	41750	22	0	19357
DungDoskincare	69651	153	7	64451	11	19	9600
MAKE SENSE	69350	48135	34	0	0	15370	11296
Nhà Máy SX Ghế Massage KingEdo	69042	52309	29	3050	17	2871	15177
Hasol Hair VN	69007	8660	581	9180	12	41997	11868
Magister.vn	68691	42206	35	11049	4	29	23620
Oniiz.Store	68623	29995	1245	12920	7	48	26618
Blanc Perfume II	68449	32069	0	0	0	15047	22181
Censto Vietnam	68125	15907	2405	18707	7	201	5579
L'Occitane VN	67669	9063	285	29800	48	8232	20178
QUSTERE VN	67487	54910	88	161	6	680	14483
EGUOO VIỆT NAM	66214	31851	198	13382	7	371	8740
Ulike Việt Nam Store	65831	9221	1012	7607	158	1094	13757
COCLEAR & FLYCO	64760	44493	0	5283	8	4619	11717
ICE LERSKIN.VN	64527	50397	436	2878	5	89	14892
Salonkey	64431	46442	281	3060	7	2192	15871
Rohto Official by TNT	64285	3655	0	0	0	47343	20283
Men Stay Simplicity	64130	29605	2102	10796	10	97	26190
Ollie Việt Nam	63702	17953	249	11500	6	14432	19593
Tiam Viet Nam	63553	12646	3027	27189	13	2759	19771
Nam Nung Việt Nam	63353	10070	944	36606	21	95	15532
GlowCode Việt Nam	63211	39599	543	14626	4	72	12927
Hachi Việt Nam	62507	10213	1230	30393	8	8576	16258
Hexze Việt Nam	62193	36966	1571	7955	7	3808	21939
SVR Việt Nam	61716	8467	477	29006	16	6467	18935
The Originote Việt Nam	61474	37835	548	13772	6	66	15527
Jacolux	61163	1953	162	34583	4	10704	7407
Tina Beauty Mỹ Phẩm Chính Hãng	61042	13259	526	0	0	22375	25027
Azderma	61022	32928	237	13972	8	204	14252
Lagihitech Mall	60897	5608	4884	15288	92	0	33114
Brigie Vietnam	60740	49688	252	3313	9	505	6449
WIS.VN	60195	19367	117	12881	9	20717	9217
Y&W STORE.VN	59866	48206	1	582	1	5114	12225
Romand Vietnam	59690	18456	931	15294	8	3155	23591
Five Grains Live	59557	25425	0	0	0	18781	17940
Lemonade Cosmetics	59532	26460	412	10282	6	13541	10518
Jeeara Cosmetics Việt Nam	59239	3378	0	0	0	52620	5268
Phú Lộc INT	58848	42249	552	5887	84	730	6812
ULucky Vietnam	58586	38419	1150	4988	48	5684	24247
FANEYES SHOP1	58367	38558	3	1043	2	4794	20051
Grace and Glow Việt Nam	58196	28338	145	12427	6	193	19271
Huyền Tôm Kem Nám 1988 Uy Tín2	57608	0	733	49411	12	0	8983
Simple Skincare Đơn Giản	57492	21363	415	13100	8	4641	19571
HaKiHa Store	57125	4447	3645	26398	14	14767	10004
The Whoo Vietnam	56334	4953	1002	21099	52	7125	19600
SEVENLAB VIETNAM	55485	16481	8990	10150	15	54	20255
Dr.G Việt Nam	55147	11999	597	20890	15	10998	11413
eHerb Viet Nam	54696	38419	294	0	0	698	18334
AZTK VIETNAM	54644	0	0	0	0	54390	4651
So Natural Việt Nam	54604	10423	1437	12614	14	22047	10428
Sulwhasoo Vietnam	54624	1335	100	15433	52	22653	12888
MQG Professional	54268	10896	1816	34368	22	354	9638
usmile Vietnam Shop	54057	39889	595	2824	6	22	13341
Việt Beauty	53946	21155	0	1792	11	22371	10595
Tyh Store	53784	1806	26	0	0	46870	8643
